,arima_forecast,garch_forecast
584,-1.4797710833599096e+123,5.546275403894961e+122
585,-2.3935822852035596e+123,8.971297456009511e+122
586,-3.87170436053644e+123,1.451139227375572e+123
587,-6.262619316687525e+123,2.347269241215024e+123
588,-1.0130009177744549e+124,3.796791366958331e+123
589,-1.6385649638283595e+124,6.14144488884765e+123
590,-2.6504370268335986e+124,9.934005236892667e+123
591,-4.287176027978577e+124,1.6068606302372532e+124
592,-6.934659495318054e+124,2.5991541411891853e+124
593,-1.121705803591164e+125,4.2042241390054004e+124
594,-1.8143989775699743e+125,6.80048186865465e+124
595,-2.934854789257061e+125,1.1000020959120711e+125
596,-4.747231860525519e+125,1.779292459536145e+125
597,-7.678816144526684e+125,2.878068749439229e+125
598,-1.2420757846640402e+126,4.65537842421819e+125
599,-2.009101697204244e+126,7.530239948888982e+125
600,-3.249793353632423e+126,1.2180430573131405e+126
601,-5.2566561742542935e+126,1.970227907130155e+126
602,-8.502828065495278e+126,3.186913617485132e+126
603,-1.3753626395705886e+127,5.154945967700796e+126
604,-2.2246979190404135e+127,8.338308193895899e+126
605,-3.5985278999057256e+127,1.3487509660048296e+127
606,-5.820746689054046e+127,2.1816525918658935e+127
607,-9.415264508306647e+127,3.528900554335639e+127
608,-1.5229524749475956e+128,5.708121984600505e+127
609,-2.4634297197946194e+128,9.233090048697536e+127
610,-3.984685066798431e+128,1.4934851090664604e+128
611,-6.445369621866124e+128,2.4157652088727347e+128
612,-1.042561428721718e+129,3.907586027454813e+128
613,-1.6863801402029918e+129,6.320659187357511e+128
614,-2.727779772898307e+129,1.0223890729988259e+129
615,-4.4122806667644235e+129,1.6537506383482136e+129
616,-7.137020691966577e+129,2.675000394727678e+129
617,-1.1544384458868028e+130,4.32690814797832e+129
618,-1.8673451890669927e+130,6.99892761060588e+129
619,-3.0204971668741137e+130,1.1321013995036803e+130
620,-4.885761448130004e+130,1.831214223184746e+130
621,-7.902892672710877e+130,2.9620540462755707e+130
622,-1.2783209589631484e+131,4.791227624804397e+130
623,-2.067729553973466e+131,7.749980855870285e+130
624,-3.344625994275482e+131,1.2535869294836095e+131
625,-5.410051338719129e+131,2.0277213827977573e+131
626,-8.750950192240211e+131,3.2799113564058645e+131
627,-1.4154972748410128e+132,5.305373113458523e+131
628,-2.2896171170749298e+132,8.58162944496528e+131
629,-3.703537008498535e+132,1.3881090425831905e+132
630,-5.990602651870987e+132,2.2453156786345224e+132
631,-9.690012561033624e+132,3.631877858341859e+132
632,-1.5673939483144267e+133,5.87469143133388e+132
633,-2.535315381418486e+133,9.502522044930289e+132
634,-4.1009626776788536e+133,1.537066691414012e+133
635,-6.633452787363068e+133,2.4862599662316797e+133
636,-1.0729845487664958e+134,4.021613801285189e+133
637,-1.7355906174306307e+134,6.505103161517265e+133
638,-2.807379467650445e+134,1.0522235409192908e+134
639,-4.541036000213515e+134,1.7020089498572852e+134
640,-7.345287016896693e+134,2.753059927611424e+134
641,-1.1881262636555684e+135,4.453172214902485e+134
642,-1.9218364308173027e+135,7.2031642234482e+134
643,-3.108638685801581e+135,1.1651373970296879e+135
644,-5.028333485567505e+135,1.8846511225413255e+135
645,-8.133508007077956e+135,3.048490128933502e+135
646,-1.315623808386587e+136,4.931041058502976e+135
647,-2.1280682378223395e+136,7.976134050710765e+135
648,-3.442225958484294e+136,1.290168011990187e+136
649,-5.567922747340171e+136,2.0868925830232023e+136
650,-9.006312802893112e+136,3.375622874387603e+136
651,-1.4568030840999882e+137,5.460189893234258e+136
652,-2.3564307306331792e+137,8.832051084967913e+136
653,-3.811610401486013e+137,1.4286156322903593e+137
654,-6.165415203532231e+137,2.31083652618139e+137
655,-9.97277807226224e+137,3.737860156390023e+137
656,-1.6131322740699603e+138,6.046121562660181e+137
657,-2.6092987478421203e+138,9.779816371131791e+137
658,-4.220633400578271e+138,1.5819200335590915e+138
659,-6.827024432065819e+138,2.5588118402329397e+138
660,-1.1042954498165558e+139,4.138969034348288e+138
661,-1.7862371119661352e+139,6.694929419169204e+138
